symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,sharesOutstanding,timestamp,data_load_date
CRM,"Salesforce, Inc.",288.06,0.1495,0.43,285.21,288.06,369,212,2.76386E+11,269.8108,294.5047,NYSE,3364682,6969685,287.925,287.63,6.36,45.29,959474000,1747771202,2025-05-20
PM,Philip Morris International Inc.,174.12,0.54859,0.95,172.745,174.595,176.49,98.93,2.71021E+11,160.6594,136.16595,NYSE,3191362,6702986,173,173.17,6.36,27.38,1556520000,1747771202,2025-05-20
WFC,Wells Fargo & Company,75.52,-0.70997,-0.54,75.07,75.885,81.5,50.15,2.45756E+11,69.9484,67.7033,NYSE,8720696,19068242,75.48,76.06,5.56,13.58,3254180000,1747771256,2025-05-20
CSCO,"Cisco Systems, Inc.",63.42,-0.78223,-0.5,63.065,63.85,66.5,44.5,2.52303E+11,59.142,57.02645,NASDAQ,14027032,23977537,63.735,63.92,2.45,25.89,3978290000,1747771201,2025-05-20
CVX,Chevron Corporation,137.27,-0.88093,-1.22,137.02,138.75,168.96,132.04,2.39727E+11,147.2968,150.19435,NYSE,5407482,9734626,138.285,138.49,8.75,15.69,1746390000,1747771278,2025-05-20
IBM,International Business Machines Corporation,266.95,-0.54394,-1.46,265.625,269.205,269.28,163.53,2.48103E+11,245.321,228.6771,NYSE,1976592,4941234,267.36,268.41,5.84,45.71,929397000,1747771202,2025-05-20
ABT,Abbott Laboratories,135.2,-0.25821,-0.35,134.541,135.84,141.23,99.71,2.35226E+11,129.8344,120.97695,NYSE,5754826,7322660,135.44,135.55,7.7,17.56,1739840000,1747771202,2025-05-20
GE,General Electric Company,235.26,-0.01275022,-0.03,233.8,236.05,236.075,150.2,2.50879E+11,199.8056,186.226,NYSE,4230760,5996609,234.16,235.29,6.35,37.05,1066390000,1747771202,2025-05-20
MCD,McDonald's Corporation,319.8,-0.44516,-1.43,318.85,321.72,326.32,243.53,2.28668E+11,310.6986,298.48526,NYSE,1463679,3823122,321.22,321.23,11.34,28.2,715033000,1747771202,2025-05-20
NOW,"ServiceNow, Inc.",1021.84,-0.38118,-3.91,1013.55,1024.9,1198.09,637.99,2.11521E+11,869.1508,942.35333,NYSE,929038,2009426,1015,1025.75,7.39,138.27,207000000,1747771202,2025-05-20
AXP,American Express Company,296.17,-1.04577,-3.13,294.19,297.98,326.27,220.43,2.07493E+11,267.5544,279.1044,NYSE,1902067,3506129,296.49,299.3,14.33,20.67,700589000,1747771202,2025-05-20
MS,Morgan Stanley,129.13,-1.30694,-1.71,128.13,130.3,142.03,90.94,2.07166E+11,116.3914,118.6481,NYSE,4314991,8160213,129.87,130.84,8.53,15.14,1604320000,1747771202,2025-05-20
ISRG,"Intuitive Surgical, Inc.",557.16,-0.7959,-4.47,553.04,557.96,616,396.15,1.99696E+11,506.6946,520.07434,NASDAQ,1229190,2305118,557.29,561.63,6.82,81.7,358418000,1747771200,2025-05-20
MRK,"Merck & Co., Inc.",77.97,0.95818,0.74,77.4216,79.18,134.63,73.31,1.95785E+11,84.0426,98.8516,NYSE,11343324,17070696.5,77.545,77.23,6.88,11.33,2511030000,1747771202,2025-05-20
DIS,The Walt Disney Company,112.36,-0.26629,-0.3,111.81,113.4,118.63,80.1,2.01995E+11,95.7582,100.79285,NYSE,6226570,11587177,112.44,112.66,4.9,22.93,1797750000,1747771273,2025-05-20
VZ,Verizon Communications Inc.,44.22,-0.20311,-0.09,44.2,44.55,47.36,37.59,1.86443E+11,43.6776,42.2432,NYSE,9659005,24763683,44.26,44.31,4.2,10.53,4216260000,1747771202,2025-05-20
INTU,Intuit Inc.,671.16,0.04471872,0.3,662.91,671.5,714.78,532.65,1.87631E+11,610.6762,622.5118,NASDAQ,1044562,1852177,665.375,670.86,10.67,62.9,279562000,1747771200,2025-05-20
PEP,"PepsiCo, Inc.",131.8,0.00758783,0.01,131.35,132.165,182.13,127.87,1.80708E+11,141.6098,157.16666,NASDAQ,7193006,8163500,131.61,131.79,6.8,19.38,1371080000,1747771200,2025-05-20
TMO,Thermo Fisher Scientific Inc.,413.75,-0.04107074,-0.17,409.89,415.36,627.88,390.5,1.56188E+11,457.1736,539.52124,NYSE,1872779,2431529,412.65,413.92,17.06,24.25,377494000,1747771201,2025-05-20
AMD,"Advanced Micro Devices, Inc.",113.51,-1.07199,-1.23,112.1,114.51,187.28,76.48,1.84045E+11,99.8438,126.9165,NASDAQ,28048765,41541367,114.35,114.74,1.37,82.85,1621400000,1747771201,2025-05-20
ADBE,Adobe Inc.,417.61,-0.72977,-3.07,414.28,419.03,587.75,332.01,1.77985E+11,380.3906,464.53705,NASDAQ,2352621,3903670,417.87,420.68,15.14,27.58,426200000,1747771200,2025-05-20
CAT,Caterpillar Inc.,349.49,-0.87359,-3.08,347.485,352.461,418.5,267.3,1.6437E+11,320.8822,357.19626,NYSE,2263642,2991504,351.35,352.57,20.51,17.04,470315000,1747771202,2025-05-20
TXN,Texas Instruments Incorporated,188.71,0.19645,0.37,186.92,189,220.39,139.95,1.71438E+11,169.0608,190.169,NASDAQ,5134788,8342293,188.34,188.34,5.27,35.81,908472000,1747771200,2025-05-20
AMGN,Amgen Inc.,275.01,-0.30451,-0.84,274.27,276.9,346.85,253.3,1.47875E+11,292.4666,300.32495,NASDAQ,2184595,3215204.6,275.91,275.85,10.98,25.05,537706000,1747771200,2025-05-20
SYK,Stryker Corporation,389.55,-1.30229,-5.14,387.91,393.32,406.19,314.93,1.48872E+11,368.2138,368.787,NYSE,820394,1668685,392.34,394.69,7.41,52.57,382165000,1747771202,2025-05-20
WMT,Walmart Inc.,97.8,-0.32613,-0.32,96.52,98.8183,105.3,64.16,7.82487E+11,91.3828,87.70105,NYSE,13506184,23875047,98.555,98.12,2.34,41.79,8000890000,1747771202symbol,2025-05-20
MSFT,Microsoft Corporation,452.57,-1.22225,-5.6,451.814,457.78,468.35,344.79,3.36374E+12,399.0244,415.12674,NASDAQ,18367508,24920950,454.94,458.17,12.92,35.03,7432540000,1747857601,2025-05-21
AAPL,Apple Inc.,202.09,-2.30591,-4.77,200.73,207.04,260.1,169.21,3.01838E+12,207.4556,226.1199,NASDAQ,58857268,61490677,205.12,206.86,7.09,28.5,14935800000,1747857601,2025-05-21
NVDA,NVIDIA Corporation,131.8,-1.91993,-2.58,130.6001,137.4,153.13,86.62,3.21429E+12,113.6752,125.7122,NASDAQ,268144764,287947700,133.045,134.38,2.94,44.83,24387600000,1747857601,2025-05-21
AMZN,"Amazon.com, Inc.",201.12,-1.44558,-2.95,200.06,203.455,242.52,151.61,2.13517E+12,190.783,200.00784,NASDAQ,40716428,52212865,201.87,204.07,6.14,32.76,10616400000,1747857601,2025-05-21
GOOG,Alphabet Inc.,170.06,2.86717,4.74,164.91,174.53,208.7,142.66,2.05436E+12,160.948,172.5096,NASDAQ,45351939,25273004,164.91,165.32,8.96,18.98,12080188595,1747857601,2025-05-21
GOOGL,Alphabet Inc.,168.56,2.79302,4.58,163.565,173.14,207.05,140.53,2.0501E+12,159.0096,170.8599,NASDAQ,71515393,38921334,163.665,163.98,8.95,18.83,12162405683,1747857601,2025-05-21
LLY,Eli Lilly and Company,724.95,-2.95311,-22.06,724.03,750.52,972.53,677.09,6.87061E+11,798.0286,838.21783,NYSE,3209449,4205819,746.41,747.01,12.33,58.8,947736000,1747857602,2025-05-21
TSLA,"Tesla, Inc.",334.62,-2.67582,-9.2,332.2407,347.35,488.54,167.41,1.07631E+12,270.99,297.1675,NASDAQ,100061288,126100865,344.43,343.82,1.75,191.21,3216520000,1747857600,2025-05-21
AVGO,Broadcom Inc.,229.73,-0.84168,-1.95,227.87,236.5,251.88,128.5,1.08018E+12,189.8874,188.8094,NASDAQ,16780348,30916075,228.39,231.68,2.15,106.85,4701950000,1747857601,2025-05-21
JPM,JPMorgan Chase & Co.,261.04,-1.74646,-4.64,260.45,265.65,280.25,190.88,7.25454E+11,242.2842,236.9498,NYSE,5532954,11680662,264.35,265.68,20.37,12.81,2779090000,1747857602,2025-05-21
V,Visa Inc.,358.3,-2.32799,-8.54,358.23,365.989,369.15,252.7,6.94801E+11,340.5124,313.4773,NYSE,3719107,7123144,363.72,366.84,9.93,36.08,1939159190,1747857602,2025-05-21
MA,Mastercard Incorporated,569.54,-1.99102,-11.57,567.09,579,588.45,428.86,5.13305E+11,539.3282,521.2783,NYSE,1882639,2940863,577.06,581.11,14.24,40,901263000,1747857602,2025-05-21
NFLX,"Netflix, Inc.",1194.63,0.21896,2.61,1186.5,1211.2198,1211.2198,587.04,5.084E+11,1019.1426,871.6642,NASDAQ,2963412,5133052,1186.5,1192.02,21.22,56.3,425571000,1747857600,2025-05-21
XOM,Exxon Mobil Corporation,103.66,-1.22916,-1.29,103.64,104.965,126.34,97.8,4.46737E+11,109.1406,112.99865,NYSE,11261751,17555514,104.53,104.95,7.54,13.75,4309640000,1747857790,2025-05-21
COST,Costco Wholesale Corporation,1025.3,-1.11109,-11.52,1023.5912,1039.13,1078.23,788.2,4.54908E+11,964.1424,942.06537,NASDAQ,1287705,2475783,1032.5,1036.82,17.11,59.92,443683000,1747857601,2025-05-21
UNH,UnitedHealth Group Incorporated,302.98,-5.78394,-18.6,300.07,309.96,630.73,248.88,2.74845E+11,461.3992,531.99445,NYSE,41312970,12739275,301,321.58,23.89,12.68,907140000,1747857602,2025-05-21
HD,"The Home Depot, Inc.",370.84,-1.647,-6.21,368.595,378.325,439.37,323.77,3.68588E+11,359.8434,386.7748,NYSE,3092235,3853483,377.98,377.05,14.74,25.16,993928000,1747857602,2025-05-21
PG,The Procter & Gamble Company,165.43,-0.12678,-0.21,164.62,166.365,180.43,156.58,3.87857E+11,164.7464,168.54926,NYSE,6410418,8693588,164.82,165.64,6.29,26.3,2344540000,1747857602,2025-05-21
ORCL,Oracle Corporation,157.18,-1.95247,-3.13,156.465,160.9,198.31,114.55,4.40769E+11,144.3568,160.73595,NYSE,4857230,10535213,158.35,160.31,4.26,36.9,2804230000,1747857602,2025-05-21
JNJ,Johnson & Johnson,153.18,-0.31238,-0.48,153.03,154.43,169.99,140.68,3.68562E+11,156.6676,156.85555,NYSE,4512929,9722255,153.67,153.66,8.99,17.04,2406070000,1747857602,2025-05-21
ABBV,AbbVie Inc.,181.8,-1.64999,-3.05,181.54,184.8099,218.66,153.58,3.21132E+11,192.5246,189.30286,NYSE,3192870,8213419,184.36,184.85,2.35,77.36,1766400000,1747857602,2025-05-21
BAC,Bank of America Corporation,43.25,-3.2222,-1.44,43.15,44.49,48.08,33.07,3.25754E+11,40.4058,42.4594,NYSE,55576671,49654545,44.43,44.69,3.35,12.91,7531880000,1747857602,2025-05-21
KO,The Coca-Cola Company,71.85,0.22318,0.16,71.585,72.08,74.38,60.62,3.09262E+11,70.9616,67.88935,NYSE,12078742,18678162,71.69,71.69,2.49,28.86,4304270000,1747857602,2025-05-21
PLTR,Palantir Technologies Inc.,120.58,-3.98917,-5.01,119.5,127.11,133.49,20.63,2.84558E+11,100.0472,70.11685,NASDAQ,79689875,108954519,125.16,125.59,0.23,524.26,2359909927,1747857600,2025-05-21
TMUS,"T-Mobile US, Inc.",240.76,-0.18656,-0.45,239.01,243.23,276.49,163.26,2.73371E+11,253.5294,231.21436,NASDAQ,3912651,4509193,241.21,241.21,10.25,23.49,1135450000,1747857600,2025-05-21
CRM,"Salesforce, Inc.",282.28,-2.00653,-5.78,281.125,287.63,369,212,2.7084E+11,270.114,294.6797,NYSE,5670359,6915204,284.645,288.06,6.36,44.38,959474000,1747857602,2025-05-21
PM,Philip Morris International Inc.,174.64,0.29864,0.52,173.625,175.34,176.49,98.93,2.71831E+11,161.13,136.44925,NYSE,6175300,6648426,174,174.12,6.36,27.46,1556520000,1747857602,2025-05-21
WFC,Wells Fargo & Company,73.19,-3.08528,-2.33,73.09,75.13,81.5,50.15,2.38173E+11,70.1232,67.7965,NYSE,15698990,18944493,74.94,75.52,5.56,13.16,3254180000,1747857602,2025-05-21
CSCO,"Cisco Systems, Inc.",63.2,-0.34689,-0.22,62.9714,63.905,66.5,44.5,2.51428E+11,59.1692,57.1066,NASDAQ,14901653,23913555,62.99,63.42,2.45,25.8,3978290000,1747857601,2025-05-21
CVX,Chevron Corporation,135.56,-1.24572,-1.71,135.51,137.1293,168.96,132.04,2.36741E+11,146.8908,150.1176,NYSE,8987937,9731163,136.83,137.27,8.74,15.51,1746390000,1747857786,2025-05-21
IBM,International Business Machines Corporation,260.87,-2.27758,-6.08,260.46,265.6499,269.28,163.53,2.42452E+11,245.522,229.06355,NYSE,3743114,4888272,264.845,266.95,5.85,44.59,929397000,1747857602,2025-05-21
ABT,Abbott Laboratories,133.05,-1.59024,-2.15,133.02,136.17,141.23,99.71,2.31486E+11,129.7912,121.1022,NYSE,7209067,7311106,134.97,135.2,7.71,17.26,1739840000,1747857602,2025-05-21
GE,General Electric Company,233.54,-0.73111,-1.72,232.69,237.3,237.3,150.2,2.49045E+11,200.6684,186.55354,NYSE,3610440,5978447,234.86,235.26,6.33,36.89,1066390000,1747857602,2025-05-21
MCD,McDonald's Corporation,316.44,-1.05066,-3.36,315.16,318.67,326.32,243.53,2.26265E+11,310.7496,298.7405,NYSE,1965914,3806688,318.44,319.8,11.32,27.95,715033000,1747857602,2025-05-21
NOW,"ServiceNow, Inc.",1014.76,-0.69287,-7.08,1005.58,1030.74,1198.09,637.99,2.10055E+11,873.911,943.40564,NYSE,1250507,1994193,1010.925,1021.84,7.36,137.88,207000000,1747857602,2025-05-21
AXP,American Express Company,286,-3.43384,-10.17,285.11,294.1195,326.27,220.43,2.00368E+11,268.2514,279.34186,NYSE,3404011,3496680,293.28,296.17,14.33,19.96,700589000,1747857602,2025-05-21
MS,Morgan Stanley,125.3,-2.966,-3.83,125.075,128.64,142.03,90.94,2.01021E+11,116.7402,118.78495,NYSE,6371437,8135901,128.09,129.13,8.53,14.69,1604320000,1747857602,2025-05-21
ISRG,"Intuitive Surgical, Inc.",547.07,-1.81097,-10.09,545.475,558.32,616,396.15,1.9608E+11,508.1856,520.60547,NASDAQ,1506204,2297908,555.715,557.16,6.85,79.86,358418000,1747857601,2025-05-21
MRK,"Merck & Co., Inc.",76.98,-1.26972,-0.99,76.87,78.1,134.63,73.31,1.93299E+11,83.6974,98.67235,NYSE,9387883,16879175,77.87,77.97,6.88,11.19,2511030000,1747857602,2025-05-21
DIS,The Walt Disney Company,110.46,-1.69099,-1.9,110.13,112.485,118.63,80.1,1.98579E+11,95.9438,100.8894,NYSE,5944269,11543800,111.692,112.36,4.9,22.54,1797750000,1747857775,2025-05-21
VZ,Verizon Communications Inc.,43.75,-1.06287,-0.47,43.57,44.23,47.36,37.59,1.84461E+11,43.6322,42.26005,NYSE,9719327,24546108,44.04,44.22,4.2,10.42,4216260000,1747857602,2025-05-21
INTU,Intuit Inc.,659.98,-1.66577,-11.18,659.3712,671.065,714.78,532.65,1.84505E+11,612.5038,622.6785,NASDAQ,1477104,1836457,667.74,671.16,10.67,61.85,279562000,1747857601,2025-05-21
PEP,"PepsiCo, Inc.",130.15,-1.2519,-1.65,130.06,131.9,182.13,127.87,1.78446E+11,141.1208,156.95085,NASDAQ,9226726,8116547,131.79,131.8,6.8,19.14,1371080000,1747857600,2025-05-21
TMO,Thermo Fisher Scientific Inc.,398.28,-3.73897,-15.47,397.47,412.66,627.88,390.5,1.50348E+11,454.9126,538.48114,NYSE,2438207,2440186,409.32,413.75,17.05,23.36,377494000,1747857602,2025-05-21
AMD,"Advanced Micro Devices, Inc.",112.06,-1.27742,-1.45,111.1,116.1,187.28,76.48,1.81694E+11,100.1814,126.82135,NASDAQ,42647178,41340508,113.85,113.51,1.37,81.8,1621400000,1747857601,2025-05-21
ADBE,Adobe Inc.,414.03,-0.85726,-3.58,412.2601,422.95,587.75,332.01,1.7646E+11,380.0412,463.89304,NASDAQ,2478776,3888578,414.855,417.61,15.16,27.31,426200000,1747857601,2025-05-21
CAT,Caterpillar Inc.,342.51,-1.9972,-6.98,341.7,348.42,418.5,267.3,1.61088E+11,320.9678,357.2861,NYSE,1581076,2975762,347.015,349.49,20.48,16.72,470315000,1747857602,2025-05-21
TXN,Texas Instruments Incorporated,185.42,-1.74342,-3.29,184.74,189.895,220.39,139.95,1.68449E+11,169.1052,190.1459,NASDAQ,8780707,8308513,186.5,188.71,5.28,35.12,908472000,1747857600,2025-05-21
AMGN,Amgen Inc.,271.34,-1.3345,-3.67,270.5136,275.59,346.85,253.3,1.45901E+11,291.4196,300.02234,NASDAQ,2167771,3166740,274.26,275.01,10.97,24.73,537706000,1747857600,2025-05-21
SYK,Stryker Corporation,379.75,-2.51572,-9.8,379.305,388.62,406.19,314.93,1.45127E+11,368.6024,369.0689,NYSE,1453539,1665062,387.55,389.55,7.4,51.32,382165000,1747857602,2025-05-21
WMT,Walmart Inc.,96.43,-1.40082,-1.37,95.975,97.7556,105.3,64.16,7.71526E+11,91.5824,87.8411,NYSE,13492594,23557331,97.125,97.8,2.34,41.21,8000890000,1747857602symbol,2025-05-21
MSFT,Microsoft Corporation,456.74,0.9214,4.17,453.91,460.245,468.35,344.79,3.39474E+12,400.4668,415.34714,NASDAQ,11585804,24828853,454.74,452.57,12.94,35.3,7432540000,1747941207,2025-05-22
AAPL,Apple Inc.,202.43,0.16824,0.34,199.7,202.65,260.1,169.21,3.02345E+12,207.0806,226.03105,NASDAQ,33157399,61453532,200.715,202.09,7.09,28.55,14935800000,1747941207,2025-05-22
NVDA,NVIDIA Corporation,134.0801,1.72997,2.2801,131.5548,134.2421,153.13,86.62,3.26989E+12,114.136,125.83485,NASDAQ,147651840,287665711,131.53,131.8,2.94,45.61,24387600000,1747941206,2025-05-22
AMZN,"Amazon.com, Inc.",204.48,1.67064,3.36,200.1,205.7,242.52,151.61,2.17084E+12,190.8736,200.17395,NASDAQ,28207864,52055443,201.32,201.12,6.13,33.36,10616400000,1747941206,2025-05-22
GOOG,Alphabet Inc.,174.32,2.505,4.26,172.128,178.13,208.7,142.66,2.10582E+12,161.0296,172.5179,NASDAQ,36001104,28936969.3,173.31,170.06,8.96,19.46,12080188595,1747941208,2025-05-22
GOOGL,Alphabet Inc.,173.02,2.64594,4.46,169.56,176.77,207.05,140.53,2.10434E+12,159.1,170.8694,NASDAQ,61766596,42312131.3,171.82,168.56,8.95,19.33,12162405683,1747941208,2025-05-22
LLY,Eli Lilly and Company,717.32,-1.05249,-7.63,711.95,721.85,972.53,677.09,6.7983E+11,796.0464,837.8203,NYSE,3205090,4829111.7,717.1,724.95,12.32,58.22,947736000,1747941202,2025-05-22
TSLA,"Tesla, Inc.",346.75,3.62501,12.13,331.39,347.05,488.54,167.41,1.11533E+12,273.0708,297.80225,NASDAQ,79040559,125723508,331.94,334.62,1.74,199.28,3216520000,1747941207,2025-05-22
AVGO,Broadcom Inc.,232.51,1.21012,2.78,227.43,233.6899,251.88,128.5,1.09325E+12,190.6802,189.23895,NASDAQ,8219988,30702085,228.34,229.73,2.16,107.64,4701950000,1747941207,2025-05-22
JPM,JPMorgan Chase & Co.,261.91,0.33328,0.87,258.8687,262.085,280.25,190.88,7.27871E+11,242.9222,237.2593,NYSE,4344216,11612658,259.335,261.04,20.39,12.85,2779090000,1747941202,2025-05-22
V,Visa Inc.,359.55,0.34887,1.25,356.56,359.82,369.15,252.7,6.97225E+11,341.0356,313.9359,NYSE,3002831,7107029,357.755,358.3,9.96,36.1,1939159202,1747941202,2025-05-22
MA,Mastercard Incorporated,572.535,0.52586,2.995,566.97,572.7667,588.45,428.86,5.16005E+11,540.203,521.8159,NYSE,1196463,2933830,568.66,569.54,14.24,40.21,901263000,1747941194,2025-05-22
NFLX,"Netflix, Inc.",1197.5988,0.24851,2.9688,1187.64,1198.75,1211.22,587.04,5.09663E+11,1025.1332,874.56915,NASDAQ,1273677,5098212,1193,1194.63,21.22,56.44,425571000,1747941206,2025-05-22
XOM,Exxon Mobil Corporation,103.275,-0.37141,-0.385,101.9,103.41,126.34,97.8,4.45078E+11,109.0306,112.93255,NYSE,7641009,17542133,103.06,103.66,7.54,13.7,4309640000,1747941203,2025-05-22
COST,Costco Wholesale Corporation,1020.8086,-0.43806,-4.4914,1014.12,1028.775,1078.23,788.2,4.52915E+11,966.0386,943.0814,NASDAQ,1006961,2459056,1027.725,1025.3,17.11,59.66,443683000,1747941204,2025-05-22
UNH,UnitedHealth Group Incorporated,296.355,-2.18661,-6.625,292.5,305.6699,630.73,248.88,2.68835E+11,457.738,530.5602,NYSE,23181302,13263737,293.89,302.98,23.89,12.4,907140000,1747941206,2025-05-22
HD,"The Home Depot, Inc.",367.37,-0.93571,-3.47,364.61,369.23,439.37,323.77,3.65139E+11,359.897,386.85184,NYSE,1767357,3855327,368,370.84,14.72,24.96,993928000,1747941199,2025-05-22
PG,The Procter & Gamble Company,165.77,0.20552,0.34,164.05,166.245,180.43,156.58,3.88654E+11,164.5926,168.526,NYSE,3620710,8656982,165.09,165.43,6.29,26.35,2344540000,1747941199,2025-05-22
ORCL,Oracle Corporation,158.87,1.0752,1.69,156.82,159.19,198.31,114.55,4.45508E+11,144.6168,160.85545,NYSE,4320543,10462229,156.975,157.18,4.26,37.29,2804230000,1747941207,2025-05-22
JNJ,Johnson & Johnson,153.01,-0.11098,-0.17,151.37,153.31,169.99,140.68,3.68153E+11,156.414,156.80075,NYSE,3408275,9678867,152.645,153.18,8.99,17.02,2406070000,1747941190,2025-05-22
ABBV,AbbVie Inc.,182.87,0.58856,1.07,180.28,183.2732,218.66,153.58,3.23022E+11,191.8888,189.2654,NYSE,2713326,8163854,181.41,181.8,2.35,77.82,1766400000,1747941201,2025-05-22
BAC,Bank of America Corporation,43.4884,0.55121,0.2384,42.965,43.53,48.08,33.07,3.27549E+11,40.4786,42.48775,NYSE,20980986,49751403,43.175,43.25,3.35,12.98,7531880000,1747941204,2025-05-22
